TIME;TIME;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015);Internet use: looking for information about education, training or course offers;30;:;33;:;34;:;:;:;:;:
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015);Internet use: sending/receiving e-mails;:;66;68;69;70;71;72;74;76;78
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015);Internet use: telephoning or video calls;19;23;24;27;27;29;36;41;52;64
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015);Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.);36;:;41;44;48;49;51;52;52;56
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015);Internet use: finding information about goods and services;58;63;61;65;63;65;66;70;68;71
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015);Internet use: consulting wikis (to obtain knowledge on any subject);42;:;49;:;47;:;:;:;:;:
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015);Internet use: reading online news sites/newspapers/news magazines;:;:;48;51;53;56;59;:;62;66
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015);Internet use: playing/downloading games, images, films or music;:;34;:;41;:;:;:;:;:;:
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015);Internet use: listening to web radios and/or watching web TV;:;32;:;:;:;:;:;:;:;:
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015);Internet use: seeking health information;41;:;47;:;48;49;51;52;55;59
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015);Internet use: playing/downloading games, listening to music or watching videos (excluding VOD);:;:;:;:;:;65;:;69;:;74
Belgium;Internet use: looking for information about education, training or course offers;22;:;20;:;24;:;:;:;:;:
Belgium;Internet use: sending/receiving e-mails;:;74;76;77;78;79;81;80;80;84
Belgium;Internet use: telephoning or video calls;19;26;31;36;36;38;41;39;58;68
Belgium;Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.);40;:;47;52;67;69;72;73;76;79
Belgium;Internet use: finding information about goods and services;:;65;67;71;70;72;74;75;76;78
